DVM,TPDetailsLookUp,
TP_Identifier,TP_Name,TP_EDI_ID,TP_EDI_ID_Qualifier,HOST_EDI_ID,HOST_EDI_ID_Qualifier,TP_Element_Separator,TP_Subelement_Separator,TP_Segment_Terminator,TP_File_Name_Prefix,TP_File_Location_Prefix,TP_Transformation_Type,TP_Integration_Code,TP_Integration_Version,TP_Intermediate_Integration_Identifier
4147685686005269709HNIT,Bayview Industries Inc,4147685686,01,005269709HNIT,01,*,:,~,BayviewIndustries_,/home/users/hexaware_admin/oic/tradingpartner/outbound/bayview,Common,BAYVIEWINDUSTRIESINC_FTP_SEND,01.00.0000,LISTFILESFORBAYVIEW
TESTBYR005269709HNIT,Byrne Electrical,TESTBYR,ZZ,005269709HNIT,01,|,>,*CRLF,ByrneElectrical_,/home/users/hexaware_admin/oic/tradingpartner/outbound/byrnelec,Common,BYRNEELECTRICAL_FTP_SEND,01.00.0000,LISTFILESFORBYRNEELECTRICAL
796965168005269709HNIT,Dekko Inc,796965168,01,005269709HNIT,01,*,:,~,DekkoInc_,/home/users/hexaware_admin/oic/tradingpartner/outbound/dekko,Common,DEKKOINC_FTP_SEND,01.00.0000,LISTFILESFORDEKKOINC
601102072005269709HNIT,Acclimate,601102072,01,005269709HNIT,01,*,:,~,Acclimate_,/home/users/hexaware_admin/oic/tradingpartner/outbound/acclimate,Common,COILPLUSIL_FTP_SEND,01.00.0000,LISTFILESFORACCLIMATE
6184677382005269709HNIT,COPE Plastics Inc,6184677382,01,005269709HNIT,01,*,:,~,COPE_,/home/users/hexaware_admin/oic/tradingpartner/outbound/cope,Common,COPEPLASTICSINC_FTP_SEND,01.00.0000,LISTFILESFORCOPEPLASTIC
4182279897005269709HNIT,DUVALTEX AMERICA INC VICTOR,4182279897,12,005269709HNIT,01,*,:,~,DUVALTEX_,/home/users/hexaware_admin/oic/tradingpartner/outbound/victor,Common,DUVALTEXAMERICAI_FTP_SEND,01.00.0000,LISTFILESFORDUVALTEXAMERICAVICTO
2078763331005269709HNIT,DUVALTEX US INC TRUE,2078763331,12,005269709HNIT,01,*,:,~,DUVALTEX_,/home/users/hexaware_admin/oic/tradingpartner/outbound/truetextiles,Common,DUVALTEXUSINCTRU_FTP_SEND,01.00.0000,LISTFILESFORDUVALTEXUSINCTRUE
006930879T005269709HNIT,Esmark Steel Group Midwest LLC,006930879T,01,005269709HNIT,01,*,:,~,Esmark_,/home/users/hexaware_admin/oic/tradingpartner/outbound/esmark,Common,ESMARKSTEELGROUP_FTP_SEND,01.00.0000,LISTFILESFORESMARK
007140080005269709HNIT,Legget Platt Inc Carthage,007140080,01,005269709HNIT,01,*,:,~,Legget_,/home/users/hexaware_admin/oic/tradingpartner/outbound/legget,Common,LEGGETANDPLATTIN_FTP_SEND,01.00.0000,LISTFILESFORLEGGETPLATTINC
MAHARAM005269709HNIT,Maharam,MAHARAM,ZZ,005269709HNIT,01,*,:,~,Maharam_,/home/users/hexaware_admin/oic/tradingpartner/outbound/maharam,Common,MAHARAM_FTP_SEND,01.00.0000,LISTFILESFORMAHARAM
9498338886005269709HNIT,Momentum,9498338886,12,005269709HNIT,01,*,:,~,Momentum_,/home/users/hexaware_admin/oic/tradingpartner/outbound/mom,Common,MOMENTUM_FTP_SEND,01.00.0000,LISTFILESFORMOMENTUM
OFCPANEL005269709HNIT,OFC Pannel Processing LLC,OFCPANEL,ZZ,005269709HNIT,01,*,:,~,OFC_,/home/users/hexaware_admin/oic/tradingpartner/outbound/ofc,Common,OFCPANNELPROCESS_FTP_SEND,01.00.0000,LISTFILESFOROFCPANNELPROCESSING
PPG/CENTRALT005269709HNIT,PPG Industries Inc,CENTRAL2,ZZ,005269709HNIT,01,*,:,~,PPG_,/home/users/hexaware_admin/oic/tradingpartner/outbound/ppg,Common,PPGINDUSTRIESINC_FTP_SEND,01.00.0000,LISTFILESFORPPGINDUSTRIESINC
PSCTEST3005269709HNIT,PSC Industries,192063601,01,005269709HNIT,01,*,:,~,PSC_,/home/users/hexaware_admin/oic/tradingpartner/outbound/pscind,Common,PSCINDUSTRIES_FTP_SEND,01.00.0000,LISTFILESFORPSCINDUSTRIES
093863876005269709HNIT,Seaberg Industries,093863876,ZZ,005269709HNIT,01,*,:,~,Seaberg_,/home/users/hexaware_admin/oic/tradingpartner/outbound/seaberg,Common,SEABERGINDUSTRIES_FTP_SEND,01.00.0000,LISTFILESFORSEABERGINDUSTRIES
RALPHWILSON005269709HNIT,WILSONART International,RALPHWILSON,ZZ,005269709HNIT,01,*,:,~,WILSONART_,/home/users/hexaware_admin/oic/tradingpartner/outbound/wilsonart,Common,WILSONARTINTERNA_FTP_SEND,01.00.0000,LISTFILESFORWILSONART
783169753TST005269709HNIT,Arauco,783169753TST,ZZ,005269709HNIT,01,*,:,~,Arauco_,/home/users/hexaware_admin/oic/tradingpartner/outbound/sterling,Common,STERLING_AS2_SEND,01.00.0000,LISTFILESFORSTERLING
MENASHA005269709HNIT,Menasha Packing Company,MENASHA,ZZ,005269709HNIT,01,*,:,~,Menasha_,/home/users/hexaware_admin/oic/tradingpartner/outbound/menasha,Common,MENASHA_AS2_SEND,01.00.0000,LISTFILESFORMENASHA
006073126T005269709HNIT,Menasha Packing Company,006073126T,01,005269709HNIT,01,*,:,~,Menasha_,/home/users/hexaware_admin/oic/tradingpartner/outbound/menasha,Common,MENASHA_AS2_SEND,01.00.0000,
SJTEST005269709HNIT,S & J Tube Inc.,SJTEST,ZZ,005269709HNIT,01,*,:,~,SJTube_,/home/users/hexaware_admin/oic/tradingpartner/outbound/acclimate,Common,SJTUBEINC_FTP_SEND,01.00.0000,ListFilesForSJTubeInc
1596129-19194T005269709HNIT,Impact Office,1596129-19194T,ZZ,005269709HNIT,01,*,:,~,Impact Office_,/home/users/hexaware_admin/oic/tradingpartner/outbound/acclimate,Common,,01.00.0000,
CARDINALPA005269709HNIT,Cardinal PA,CARDINALPA,ZZ,005269709HNIT,01,*,:,~,Cardinal_,/home/users/hexaware_admin/oic/tradingpartner/outbound/cardinal,Common,CARDINALPA_AS2_SEND,01.00.0000,LISTFILESFORCARDINALPA
CARDINALWI005269709HNIT,Cardinal WI,CARDINALWI,ZZ,005269709HNIT,01,*,:,~,Cardinal_,/home/users/hexaware_admin/oic/tradingpartner/outbound/cardinal,Common,CARDINAL_AS2_SEND,01.00.0000,LISTFILESFORCARDINALWI
8707432200005269709HNIT,Claridge Products and Equipment,8707432200,12,005269709HNIT,01,*,:,~,Claridge_,/home/users/hexaware_admin/oic/tradingpartner/outbound/claridge,Common,CLARIDGEPRODUCTSEQUI_AS2_SEND,01.00.0000,LISTFILESFORCLARIDGEPRODUCTS
118038413005269709HNIT,Acclimate,118038413,01,005269709HNIT,01,*,:,~,Acclimate_,/home/users/hexaware_admin/oic/tradingpartner/outbound/acclimate,Common,COILPLUSAL_FTP_SEND,01.00.0000,
8642861697005269709HNIT,COMPX Security Products,8642861697,12,005269709HNIT,01,*,:,~,COMPX_,/home/users/hexaware_admin/oic/tradingpartner/outbound/compx,Common,,,
3368895161T005269709HNIT,Culp Inc,3368895161T,12,005269709HNIT,01,*,:,~,Culp_,/home/users/hexaware_admin/oic/tradingpartner/outbound/culp,Common,,,
DECOTEST005269709HNIT,Deco Products Co,DECOTEST,ZZ,005269709HNIT,01,*,:,~,Deco_,/home/users/hexaware_admin/oic/tradingpartner/outbound/deco,Common,,,
7655212000005269709HNIT,Foam Rubber Products LLC Monticello,7655212000,12,005269709HNIT,01,*,:,~,Foam_,/home/users/hexaware_admin/oic/tradingpartner/outbound/foam,Common,,,
