Set,Connection Name,FlexDeploy Variable Name,Data Value,Attachment
N,AZURE_ANALYTICS_DB.connection.Host=,,,
N,AZURE_ANALYTICS_DB.connection.Port=,,,
N,AZURE_ANALYTICS_DB.connection.SID=,,,
Y,AZURE_ANALYTICS_DB.connection.Service Name=,FD_OIC_CMN_ATP_SHARED,,
Y,AZURE_ANALYTICS_DB.secure.Wallet=,FD_OIC_CMN_ATP_WALLET,,Y
Y,AZURE_ANALYTICS_DB.secure.Wallet Password=,FD_OIC_CMN_ATP_WALLET_PASS,,
Y,AZURE_ANALYTICS_DB.secure.Database Service Username=,FD_OIC_CMN_ATP_AZURE_USER,,
Y,AZURE_ANALYTICS_DB.secure.Database Service Password=,FD_OIC_CMN_ATP_DB_PASS,,
N,AZURE_ANALYTICS_DB.agentDefinition=,,,
N,,,,
Y,BNZ_SFTP.connection.FTP Server Host Address=,FD_OIC_BNZ_SFTP_URL,,
Y,BNZ_SFTP.connection.FTP Server Port=,FD_OIC_CMN_PORT_60022,,
Y,BNZ_SFTP.connection.SFTP Connection=,FD_OIC_CMN_SFTP_CONF,,
N,BNZ_SFTP.connection.Passive IP as Host Address=,,,
N,BNZ_SFTP.connection.Host Key=,,,
N,BNZ_SFTP.connection.FTP SSL Type=,,,
N,BNZ_SFTP.connection.SSL Certificate=,,,
N,BNZ_SFTP.connection.FTP Server OS=,,,
N,BNZ_SFTP.connection.FTP SSL Channel Mask=,,,
N,BNZ_SFTP.connection.SFTP Key Exchange Algorithm=,,,
N,BNZ_SFTP.connection.SFTP Preferred Cipher Suite=,,,
N,BNZ_SFTP.connection.SFTP Preferred Data Integrity Algorithm=,,,
N,BNZ_SFTP.connection.SFTP Preferred PKI Algorithm=,,,
N,BNZ_SFTP.connection.FTP Server Time Zone=,,,
Y,BNZ_SFTP.secure.User Name=,FD_OIC_BNZ_SFTP_USER,,
Y,BNZ_SFTP.secure.Private Key File=,FD_OIC_CMN_MX_SSH_PRI_KEY,,Y
Y,BNZ_SFTP.secure.PassPhrase=,FD_OIC_CMN_MX_SSH_PRI_PASS,,
N,BNZ_SFTP.secure.PGP Public Key=,,,
N,BNZ_SFTP.secure.ASCII-Armor Encryption Format=,,,
N,BNZ_SFTP.secure.Cipher Algorithm=,,,
Y,BNZ_SFTP.secure.PGP Private Key=,FD_OIC_CMN_MX_PGP_PRI_KEY,,Y
Y,BNZ_SFTP.secure.PGP Private Key Password=,FD_OIC_CMN_MX_PGP_PRI_PASS,,
Y,BNZ_SFTP.secure.PGP Sign Public Key=,FD_OIC_CMN_BNZ_PGP_PUB,,
N,BNZ_SFTP.secure.PGP Sign Private Key=,,,
N,BNZ_SFTP.secure.PGP signing Private key password=,,,
N,BNZ_SFTP.agentDefinition=,,,
N,,,,
