FlexDeploy Variable Name,Attachment,Type,Encrypt,Required,Scope,Display Name,DEV value,TEST value,PROD value
FD_OIC_BNZ_SFTP_URL,,String,No,Yes,Target,FD_OIC_BNZ_SFTP_URL,ftg.bnz.co.nz,ftg.bnz.co.nz,ftg.bnz.co.nz
FD_OIC_BNZ_SFTP_USER,,String,No,Yes,Target,FD_OIC_BNZ_SFTP_USER,110317383,110317383,110317383
FD_OIC_CMN_ATP_SHARED,,String,No,Yes,Target,FD_OIC_CMN_ATP_SHARED,mxocishared_tp,mxocishared_tp,mxocishdprd_tp
FD_OIC_CMN_ATP_STGDB_USER,,String,No,Yes,Target,FD_OIC_CMN_ATP_STGDB_USER,SCM_DEV,SCM_TST,SCM_PRD
FD_OIC_CMN_ATP_WALLET,Y,,No,Yes,Target,FD_OIC_CMN_ATP_WALLET,Wallet_MXOCISHARED.zip,Wallet_MXOCISHARED.zip,Wallet_MXOCISHDPRD.zip
FD_OIC_CMN_ATP_WORKDAY_USER,,String,No,Yes,Target,FD_OIC_CMN_ATP_WORKDAY_USER,WD_WORKER_CACHE_DEV,WD_WORKER_CACHE_TST,WD_WORKER_CACHE_PRD
FD_OIC_CMN_BNZ_PGP_PUB,Y,,No,Yes,Target,FD_OIC_CMN_BNZ_PGP_PUB,BNZConnect_FTG-PROD.pub.asc,BNZConnect_FTG-PROD.pub.asc,BNZConnect_FTG-PROD.pub.asc
FD_OIC_CMN_CPQ_USER,,String,No,Yes,Target,FD_OIC_CMN_CPQ_USER,superuser,superuser,MX.INTEGRATION
FD_OIC_CMN_EKAA_USER,,String,No,Yes,Target,FD_OIC_CMN_EKAA_USER,methanex.integ.dev@methanex.com,methanex.integ.test@methanex.com,methanex.integ@methanex.com
FD_OIC_CMN_MAX_USER,,String,No,Yes,Target,FD_OIC_CMN_MAX_USER,svc_integ_tst,svc_integ_tst,svc_integ_prd
FD_OIC_CMN_MX_PGP_PRI_KEY,Y,,No,Yes,Target,FD_OIC_CMN_MX_PGP_PRI_KEY,MethanexPGP-private.asc,MethanexPGP-private.asc,MethanexPGP-private.asc
FD_OIC_CMN_MX_SSH_PRI_2022_KEY,Y,,No,Yes,Target,FD_OIC_CMN_MX_SSH_PRI_2022_KEY,Methanex_id_rsa_2022.ssh,Methanex_id_rsa_2022.ssh,Methanex_id_rsa_2022.ssh
